,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,17.66,565,-9982.888949999999,565,17.111,-4.989,9995.011
20200110,Hold,17.48,0,0.0,565,17.111,-106.689,9893.311
20200113,Hold,17.99,0,0.0,565,17.111,181.461,10181.461
20200114,Hold,18.0,0,0.0,565,17.111,187.111,10187.111
20200115,Hold,18.02,0,0.0,565,17.111,198.411,10198.411
20200116,Hold,19.1,0,0.0,565,17.111,808.611,10808.611
20200117,Hold,19.02,0,0.0,565,17.111,763.411,10763.411
20200121,Hold,19.23,0,0.0,565,17.111,882.061,10882.061
20200122,Hold,19.18,0,0.0,565,17.111,853.811,10853.811
20200123,Hold,19.71,0,0.0,565,17.111,1153.261,11153.261
20200124,Sell,18.47,-565,10430.332225,0,10447.443,447.443,10447.443
20200127,Hold,18.8,0,0.0,0,10447.443,447.443,10447.443
20200128,Hold,19.15,0,0.0,0,10447.443,447.443,10447.443
20200129,Hold,18.81,0,0.0,0,10447.443,447.443,10447.443
20200130,Hold,18.73,0,0.0,0,10447.443,447.443,10447.443
20200131,Hold,18.65,0,0.0,0,10447.443,447.443,10447.443
20200203,Hold,18.48,0,0.0,0,10447.443,447.443,10447.443
20200204,Hold,18.02,0,0.0,0,10447.443,447.443,10447.443
20200205,Hold,16.36,0,0.0,0,10447.443,447.443,10447.443
20200206,Hold,16.96,0,0.0,0,10447.443,447.443,10447.443
20200207,Hold,17.05,0,0.0,0,10447.443,447.443,10447.443
20200210,Buy,17.65,591,-10436.365575,591,11.078,442.228,10442.228
20200211,Hold,17.66,0,0.0,591,11.078,448.138,10448.138
20200212,Sell,17.22,-591,10171.931489999999,0,10183.009,183.009,10183.009
20200213,Hold,17.54,0,0.0,0,10183.009,183.009,10183.009
20200214,Hold,17.44,0,0.0,0,10183.009,183.009,10183.009
20200218,Hold,17.23,0,0.0,0,10183.009,183.009,10183.009
20200219,Hold,17.09,0,0.0,0,10183.009,183.009,10183.009
